customer_id,total_purchase,frequency_purchase,client_category
CS1392,1227,17,2
CS1393,1437,19,2
CS1394,2046,28,3
CS1395,1704,22,3
CS1396,1852,25,3
CS1397,2156,30,3
CS1398,1354,20,2
CS1399,1832,26,3
CS1400,1193,18,2
CS1401,2023,30,3
CS1402,1660,22,3
CS1403,1652,22,3
CS1404,1900,28,3
CS1405,1943,26,3
CS1406,1842,27,3
CS1407,1916,28,3
CS1408,1214,17,2
CS1409,1464,24,2
CS1410,1160,15,2
CS1411,1222,17,2
CS1412,1599,22,3
CS1413,1396,19,2
CS1414,1437,20,2
CS1415,1752,27,3
CS1416,1513,20,2
CS1417,1076,15,2
CS1418,1053,14,2
CS1419,1915,27,3
CS1420,1923,25,3
CS1421,1896,27,3
CS1422,1211,15,2
CS1423,1182,20,2
CS1424,1753,24,3
CS1425,1688,23,3
CS1426,1538,21,2
CS1427,985,15,2
CS1428,1948,25,3
CS1429,1261,18,2
CS1430,1440,21,2
CS1431,1257,18,2
CS1432,1362,19,2
CS1433,1468,20,2
CS1434,1758,27,3
CS1435,1700,25,3
CS1436,977,14,2
CS1437,880,12,2
CS1438,1374,20,2
CS1439,1160,16,2
CS1440,1577,22,3
CS1441,1351,20,2
CS1442,1225,20,2
CS1443,1876,24,3
CS1444,1756,23,3
CS1445,1526,23,3
CS1446,991,15,2
CS1447,1001,14,2
CS1448,1239,16,2
CS1449,1402,20,2
CS1450,1251,20,2
CS1451,1715,22,3
CS1452,941,15,2
CS1453,1640,22,3
CS1454,1126,17,2
CS1455,1301,18,2
CS1456,1363,20,2
CS1457,929,15,2
CS1458,1422,20,2
CS1459,1627,24,3
CS1460,1185,18,2
CS1461,1567,23,3
CS1462,1616,24,3
CS1463,1807,27,3
CS1464,1613,21,2
CS1465,1631,22,3
CS1466,1190,17,2
CS1467,1233,18,2
CS1468,1412,21,2
CS1469,1387,19,2
CS1470,1649,22,3
CS1471,1325,20,2
CS1472,1241,19,2
CS1473,1695,25,3
CS1474,1487,21,2
CS1475,1197,18,2
CS1476,1430,20,2
CS1477,1185,18,2
CS1478,1300,19,2
CS1479,1567,20,2
CS1480,1251,17,2
CS1481,876,13,2
CS1482,732,12,1
CS1483,1774,24,3
CS1484,1221,16,2
CS1485,1814,25,3
CS1486,1377,19,2
CS1487,599,10,1
CS1488,1595,23,3
CS1489,950,15,2
CS1490,1788,25,3
CS1491,1244,17,2
CS1492,1358,19,2
CS1493,1531,21,2
CS1494,1502,21,2
CS1495,1138,17,2
CS1496,1222,18,2
CS1497,1445,20,2
CS1498,1519,22,2
CS1499,1879,26,3
CS1500,983,15,2
CS1501,1965,26,3
CS1502,1613,22,3
CS1503,1927,27,3
CS1504,825,13,2
CS1505,1703,25,3
CS1506,1307,18,2
CS1507,1280,21,2
CS1508,1933,28,3
CS1509,1383,20,2
CS1510,1792,26,3
CS1511,1253,18,2
CS1512,1239,20,2
CS1513,1444,22,2
CS1514,1046,16,2
CS1515,1742,22,3
CS1516,1308,18,2
CS1517,1168,18,2
CS1518,1151,19,2
CS1519,962,15,2
CS1520,1162,18,2
CS1521,671,9,1
CS1522,894,14,2
CS1523,928,15,2
CS1524,1075,17,2
CS1525,1215,17,2
CS1526,1324,19,2
CS1527,1187,19,2
CS1528,1660,24,3
CS1529,1823,25,3
CS1530,626,10,1
CS1531,1793,25,3
CS1532,1140,17,2
CS1533,1606,23,3
CS1534,1379,20,2
CS1535,1904,24,3
CS1536,753,12,1
CS1537,1323,20,2
CS1538,1304,19,2
CS1539,1371,20,2
CS1540,1199,19,2
CS1541,2273,30,3
CS1542,1808,27,3
CS1543,948,12,2
CS1544,1334,19,2
CS1545,1935,28,3
CS1546,1436,18,2
CS1547,1600,22,3
CS1548,1755,23,3
CS1549,1393,20,2
CS1550,1583,22,3
CS1551,1300,18,2
CS1552,1604,22,3
CS1553,1444,20,2
CS1554,993,17,2
CS1555,1571,23,3
CS1556,1031,13,2
CS1557,1992,30,3
CS1558,1500,23,2
CS1559,1613,20,2
CS1560,1352,18,2
CS1561,1082,15,2
CS1562,711,12,1
CS1563,1108,17,2
CS1564,1304,16,2
CS1565,1147,17,2
CS1566,1491,21,2
CS1567,1465,19,2
CS1568,1604,20,2
CS1569,1074,15,2
CS1570,1782,25,3
CS1571,1503,20,2
CS1572,1085,15,2
CS1573,1539,19,2
CS1574,1018,18,2
CS1575,1611,26,3
CS1576,1074,16,2
CS1577,1525,21,2
CS1578,1125,16,2
CS1579,1433,20,2
CS1580,2329,33,3
CS1581,1501,23,2
CS1582,2009,27,3
CS1583,1919,25,3
CS1584,1512,21,2
CS1585,1167,19,2
CS1586,1441,20,2
CS1587,1900,27,3
CS1588,1591,25,3
CS1589,1151,15,2
CS1590,964,16,2
CS1591,1144,18,2
CS1592,1215,19,2
CS1593,1406,20,2
CS1594,901,13,2
CS1595,648,10,1
CS1596,1342,19,2
CS1597,1611,23,3
CS1598,1289,20,2
CS1599,1028,15,2
CS1600,1331,20,2
CS1601,1787,27,3
CS1602,1401,20,2
CS1603,1374,19,2
CS1604,1950,28,3
CS1605,1685,27,3
CS1606,781,13,1
CS1607,1384,19,2
CS1608,973,14,2
CS1609,1375,20,2
CS1610,1326,19,2
CS1611,1794,23,3
CS1612,1759,26,3
CS1613,1347,21,2
CS1614,1568,22,3
CS1615,1419,20,2
CS1616,1434,19,2
CS1617,1784,27,3
CS1618,887,13,2
CS1619,1323,21,2
CS1620,1320,16,2
CS1621,1894,26,3
CS1622,1360,20,2
CS1623,1777,26,3
CS1624,1832,25,3
CS1625,950,14,2
CS1626,1172,17,2
CS1627,1043,16,2
CS1628,1456,21,2
CS1629,1394,22,2
CS1630,1393,20,2
CS1631,1223,18,2
CS1632,1187,17,2
CS1633,1763,26,3
CS1634,1044,15,2
CS1635,1573,23,3
CS1636,1347,19,2
CS1637,1496,22,2
CS1638,1035,15,2
CS1639,1619,23,3
CS1640,1232,19,2
CS1641,1232,17,2
CS1642,1672,24,3
CS1643,2087,27,3
CS1644,1542,22,3
CS1645,1412,19,2
CS1646,1185,17,2
CS1647,1401,21,2
CS1648,1776,24,3
CS1649,1197,16,2
CS1650,1832,24,3
CS1651,927,13,2
CS1652,1726,26,3
CS1653,1986,26,3
CS1654,1384,19,2
CS1655,955,14,2
CS1656,966,14,2
CS1657,1105,18,2
CS1658,1389,20,2
CS1659,1311,19,2
CS1660,1745,24,3
CS1661,2051,32,3
CS1662,1033,17,2
CS1663,1487,23,2
CS1664,1954,25,3
CS1665,1033,16,2
CS1666,1385,18,2
CS1667,1313,20,2
CS1668,1227,17,2
CS1669,1105,15,2
CS1670,1191,16,2
CS1671,1246,17,2
CS1672,1110,15,2
CS1673,1784,26,3
CS1674,1088,17,2
CS1675,2124,28,3
CS1676,2088,28,3
CS1677,1439,21,2
CS1678,1230,18,2
CS1679,1976,28,3
CS1680,1151,18,2
CS1681,1467,21,2
CS1682,1075,15,2
CS1683,1245,17,2
CS1684,1241,18,2
CS1685,1569,22,3
CS1686,1647,24,3
CS1687,1656,22,3
CS1688,1167,17,2
CS1689,993,16,2
CS1690,1354,19,2
CS1691,1523,20,2
CS1692,1592,23,3
CS1693,908,12,2
CS1694,1330,22,2
CS1695,2174,32,3
CS1696,1325,19,2
CS1697,1082,15,2
CS1698,1397,19,2
CS1699,1261,18,2
CS1700,1186,17,2
CS1701,1190,18,2
CS1702,1028,17,2
CS1703,890,15,2
CS1704,1484,22,2
CS1705,1553,21,2
CS1706,1681,23,3
CS1707,1627,22,3
CS1708,1790,25,3
CS1709,1629,23,3
CS1710,1577,22,3
CS1711,1548,23,3
CS1712,1411,21,2
CS1713,1495,19,2
CS1714,1248,16,2
CS1715,1314,20,2
CS1716,440,6,1
CS1717,963,14,2
CS1718,1284,18,2
CS1719,1166,17,2
CS1720,1104,17,2
CS1721,1687,24,3
CS1722,1320,19,2
CS1723,1146,17,2
CS1724,1223,18,2
CS1725,1778,27,3
CS1726,1529,23,3
CS1727,1702,25,3
CS1728,1896,26,3
CS1729,1567,24,3
CS1730,1260,19,2
CS1731,1145,17,2
CS1732,1353,18,2
CS1733,1506,20,2
CS1734,1235,18,2
CS1735,952,14,2
CS1736,1653,24,3
CS1737,1737,23,3
CS1738,1337,20,2
CS1739,1199,17,2
CS1740,1902,25,3
CS1741,1264,19,2
CS1742,1326,19,2
CS1743,1405,17,2
CS1744,1066,14,2
CS1745,1615,22,3
CS1746,1878,26,3
CS1747,1099,17,2
CS1748,1498,22,2
CS1749,1174,17,2
CS1750,1543,22,3
CS1751,1504,23,2
CS1752,1656,22,3
CS1753,1180,18,2
CS1754,1177,17,2
CS1755,1164,17,2
CS1756,1176,18,2
CS1757,2238,31,3
CS1758,1337,20,2
CS1759,1654,24,3
CS1760,1570,21,2
CS1761,1144,16,2
CS1762,1027,14,2
CS1763,1689,24,3
CS1764,1085,15,2
CS1765,1079,14,2
CS1766,1067,19,2
CS1767,1674,26,3
CS1768,1794,25,3
CS1769,1356,20,2
CS1770,1734,25,3
CS1771,1337,19,2
CS1772,1348,18,2
CS1773,1442,22,2
CS1774,1756,25,3
CS1775,848,13,2
CS1776,1782,25,3
CS1777,1044,14,2
CS1778,1368,19,2
CS1779,1086,16,2
CS1780,1265,19,2
CS1781,2131,29,3
CS1782,1174,17,2
CS1783,1210,17,2
CS1784,993,15,2
CS1785,2103,29,3
CS1786,2218,31,3
CS1787,1443,22,2
CS1788,1548,24,3
CS1789,1192,16,2
CS1790,1241,18,2
CS1791,1607,21,2
CS1792,1179,17,2
CS1793,1035,17,2
CS1794,1764,24,3
CS1795,1331,17,2
CS1796,1462,20,2
CS1797,1393,23,2
CS1798,1826,27,3
CS1799,966,14,2
CS1800,1053,16,2
CS1801,994,15,2
CS1802,1913,27,3
CS1803,1562,21,2
CS1804,1247,19,2
CS1805,2076,31,3
CS1806,1025,15,2
CS1807,1732,26,3
CS1808,851,14,2
CS1809,1500,21,2
CS1810,1165,16,2
CS1811,1425,18,2
CS1812,1783,27,3
CS1813,1757,25,3
CS1814,1462,21,2
CS1815,959,14,2
CS1816,1723,22,3
CS1817,1315,18,2
CS1818,1674,22,3
CS1819,1867,26,3
CS1820,1898,25,3
CS1821,1418,20,2
CS1822,921,13,2
CS1823,1198,16,2
CS1824,1271,17,2
CS1825,1734,23,3
CS1826,1072,15,2
CS1827,1680,24,3
CS1828,1154,16,2
CS1829,1454,19,2
CS1830,1175,17,2
CS1831,1759,26,3
CS1832,1796,25,3
CS1833,1139,18,2
CS1834,787,13,2
CS1835,1389,19,2
CS1836,1905,26,3
CS1837,1469,19,2
CS1838,1409,21,2
CS1839,1123,16,2
CS1840,1183,19,2
CS1841,1110,17,2
CS1842,1568,21,2
CS1843,1432,20,2
CS1844,1452,22,2
CS1845,938,13,2
CS1846,1812,26,3
CS1847,1576,22,3
CS1848,1279,17,2
CS1849,716,11,1
CS1850,1908,24,3
CS1851,1444,21,2
CS1852,1020,14,2
CS1853,1212,17,2
CS1854,1686,22,3
CS1855,1256,19,2
CS1856,1063,17,2
CS1857,1717,25,3
CS1858,1389,21,2
CS1859,1198,19,2
CS1860,1062,16,2
CS1861,1376,20,2
CS1862,1634,24,3
CS1863,1635,23,3
CS1864,1992,27,3
CS1865,2245,31,3
CS1866,1890,25,3
CS1867,1271,20,2
CS1868,1048,16,2
CS1869,868,14,2
CS1870,1472,24,2
CS1871,1449,20,2
CS1872,1416,20,2
CS1873,1128,16,2
CS1874,1054,16,2
CS1875,1481,19,2
CS1876,1491,21,2
CS1877,1681,25,3
CS1878,1775,23,3
CS1879,1160,18,2
CS1880,1278,18,2
CS1881,902,13,2
CS1882,673,9,1
CS1883,1117,15,2
CS1884,802,13,2
CS1885,1781,24,3
CS1886,1157,18,2
CS1887,1506,19,2
CS1888,1739,23,3
CS1889,717,11,1
CS1890,1591,23,3
CS1891,927,14,2
CS1892,1334,18,2
CS1893,1262,19,2
CS1894,1456,21,2
CS1895,1357,19,2
CS1896,874,12,2
CS1897,1491,21,2
CS1898,1470,19,2
CS1899,729,11,1
CS1900,1737,24,3
CS1901,1620,22,3
CS1902,1109,15,2
CS1903,1826,25,3
CS1904,1275,18,2
CS1905,1551,24,3
CS1906,2012,28,3
CS1907,1423,20,2
CS1908,1833,27,3
CS1909,1255,17,2
CS1910,1142,16,2
CS1911,1667,24,3
CS1912,1510,23,2
CS1913,959,16,2
CS1914,1254,18,2
CS1915,497,6,1
CS1916,1700,23,3
CS1917,1028,17,2
CS1918,871,13,2
CS1919,1256,20,2
CS1920,1939,28,3
CS1921,2011,26,3
CS1922,1418,20,2
CS1923,2130,30,3
CS1924,1774,25,3
CS1925,2000,28,3
CS1926,1511,22,2
CS1927,1220,19,2
CS1928,798,14,2
CS1929,1095,16,2
CS1930,1559,22,3
CS1931,1236,19,2
CS1932,1538,21,2
CS1933,1568,23,3
CS1934,1262,18,2
CS1935,1517,21,2
CS1936,1080,15,2
CS1937,1231,18,2
CS1938,1636,22,3
CS1939,1297,19,2
CS1940,1800,25,3
CS1941,1044,15,2
CS1942,1308,18,2
CS1943,1459,20,2
CS1944,1399,20,2
CS1945,1527,21,2
CS1946,1581,22,3
CS1947,1400,20,2
CS1948,1230,17,2
CS1949,1989,26,3
CS1950,1853,23,3
CS1951,1331,20,2
CS1952,1397,18,2
CS1953,1534,20,2
CS1954,1549,21,2
CS1955,1361,20,2
CS1956,1131,16,2
CS1957,1698,23,3
CS1958,987,16,2
CS1959,1537,22,3
CS1960,1424,19,2
CS1961,1102,15,2
CS1962,1062,14,2
CS1963,1352,19,2
CS1964,1499,24,2
CS1965,1182,17,2
CS1966,1159,16,2
CS1967,1279,18,2
CS1968,1429,22,2
CS1969,1851,29,3
CS1970,1133,15,2
CS1971,1130,16,2
CS1972,1630,22,3
CS1973,664,10,1
CS1974,1447,21,2
CS1975,1974,27,3
CS1976,1036,14,2
CS1977,1299,18,2
CS1978,2220,31,3
CS1979,1145,17,2
CS1980,1583,22,3
CS1981,1298,17,2
CS1982,2354,32,3
CS1983,1070,15,2
CS1984,1043,15,2
CS1985,1411,20,2
CS1986,1148,17,2
CS1987,1720,24,3
CS1988,1569,23,3
CS1989,1286,19,2
CS1990,1276,18,2
CS1991,1677,22,3
CS1992,1408,18,2
CS1993,1164,19,2
CS1994,1115,16,2
CS1995,1490,23,2
CS1996,2038,28,3
CS1997,1153,17,2
CS1998,1779,25,3
CS1999,1002,14,2
CS2000,1395,21,2
CS2001,1280,21,2
CS2002,1419,19,2
CS2003,1687,24,3
CS2004,1444,20,2
CS2005,1662,24,3
CS2006,1114,15,2
CS2007,1331,18,2
CS2008,1442,21,2
CS2009,943,12,2
CS2010,1076,17,2
CS2011,1078,14,2
CS2012,862,11,2
CS2013,1177,18,2
CS2014,871,11,2
CS2015,1542,21,2
CS2016,1595,21,2
CS2017,1286,20,2
CS2018,1404,19,2
CS2019,1390,19,2
CS2020,1331,18,2
CS2021,1211,16,2
CS2022,1981,26,3
CS2023,1212,17,2
CS2024,1176,17,2
CS2025,1252,17,2
CS2026,1907,28,3
CS2027,1648,25,3
CS2028,891,14,2
CS2029,1046,17,2
CS2030,1674,25,3
CS2031,1737,24,3
CS2032,1289,19,2
CS2033,571,9,1
CS2034,1447,21,2
CS2035,1344,19,2
CS2036,1827,26,3
CS2037,1663,24,3
CS2038,1523,21,2
CS2039,1302,18,2
CS2040,1347,22,2
CS2041,1301,20,2
CS2042,1643,23,3
CS2043,1420,21,2
CS2044,1219,20,2
CS2045,1460,20,2
CS2046,987,13,2
CS2047,1611,23,3
CS2048,1677,22,3
CS2049,1447,22,2
CS2050,1188,17,2
CS2051,1585,20,2
CS2052,1626,22,3
CS2053,1494,20,2
CS2054,1074,15,2
CS2055,1983,29,3
CS2056,1577,23,3
CS2057,1238,17,2
CS2058,1776,26,3
CS2059,1806,25,3
CS2060,1089,18,2
CS2061,1615,22,3
CS2062,795,13,2
CS2063,1091,16,2
CS2064,1111,16,2
CS2065,1069,17,2
CS2066,975,15,2
CS2067,1341,20,2
CS2068,1073,15,2
CS2069,1397,21,2
CS2070,1354,19,2
CS2071,1147,16,2
CS2072,1712,24,3
CS2073,1511,21,2
CS2074,1241,17,2
CS2075,1135,17,2
CS2076,1019,15,2
CS2077,683,12,1
CS2078,1498,20,2
CS2079,1576,23,3
CS2080,1250,18,2
CS2081,1749,25,3
CS2082,977,15,2
CS2083,1632,26,3
CS2084,1257,18,2
CS2085,1668,25,3
CS2086,2071,28,3
CS2087,1063,15,2
CS2088,612,9,1
CS2089,1598,22,3
CS2090,939,13,2
CS2091,1783,24,3
CS2092,1387,19,2
CS2093,1298,20,2
CS2094,1406,21,2
CS2095,1931,27,3
CS2096,1136,16,2
CS2097,1031,15,2
CS2098,1760,24,3
CS2099,1034,14,2
CS2100,1227,18,2
CS2101,1194,19,2
CS2102,1356,19,2
CS2103,1269,17,2
CS2104,1726,25,3
CS2105,963,15,2
CS2106,1271,17,2
CS2107,1047,14,2
CS2108,1106,16,2
CS2109,1836,26,3
CS2110,1098,17,2
CS2111,1518,21,2
CS2112,1344,19,2
CS2113,1892,27,3
CS2114,1050,16,2
CS2115,1807,24,3
CS2116,1744,27,3
CS2117,2020,30,3
CS2118,1079,16,2
CS2119,1775,24,3
CS2120,948,15,2
CS2121,1205,18,2
CS2122,1648,23,3
CS2123,1547,21,2
CS2124,1027,15,2
CS2125,1368,19,2
CS2126,1093,15,2
CS2127,2072,29,3
CS2128,1766,27,3
CS2129,1395,21,2
CS2130,1853,26,3
CS2131,885,12,2
CS2132,973,14,2
CS2133,902,14,2
CS2134,1238,19,2
CS2135,2036,27,3
CS2136,861,13,2
CS2137,1686,25,3
CS2138,1710,23,3
CS2139,1608,21,2
CS2140,1978,27,3
CS2141,1080,17,2
CS2142,1733,23,3
CS2143,1187,15,2
CS2144,597,10,1
CS2145,1379,20,2
CS2146,1433,22,2
CS2147,853,14,2
CS2148,1495,22,2
CS2149,1586,23,3
CS2150,1089,18,2
CS2151,1153,16,2
CS2152,928,13,2
CS2153,1550,21,2
CS2154,1279,18,2
CS2155,1087,16,2
CS2156,941,15,2
CS2157,1449,18,2
CS2158,1305,18,2
CS2159,1223,19,2
CS2160,614,11,1
CS2161,1182,18,2
CS2162,1263,18,2
CS2163,924,14,2
CS2164,1184,17,2
CS2165,914,14,2
CS2166,1351,19,2
CS2167,1739,24,3
CS2168,1370,19,2
CS2169,626,8,1
CS2170,1425,19,2
CS2171,1071,16,2
CS2172,1490,20,2
CS2173,1143,18,2
CS2174,1735,23,3
CS2175,1611,23,3
CS2176,1425,21,2
CS2177,1321,19,2
CS2178,1854,26,3
CS2179,1991,30,3
CS2180,1685,23,3
CS2181,1159,15,2
CS2182,1883,26,3
CS2183,855,13,2
CS2184,1259,20,2
CS2185,988,15,2
CS2186,1437,20,2
CS2187,1856,24,3
CS2188,1128,19,2
CS2189,1514,21,2
CS2190,1621,23,3
CS2191,1466,22,2
CS2192,1086,14,2
CS2193,1138,16,2
CS2194,1803,24,3
CS2195,1758,24,3
CS2196,1156,14,2
CS2197,1496,21,2
CS2198,1685,24,3
CS2199,1720,28,3
CS2200,1330,19,2
CS2201,1248,18,2
CS2202,1743,26,3
CS2203,1016,16,2
CS2204,1292,18,2
CS2205,1843,28,3
CS2206,1291,18,2
CS2207,1818,26,3
CS2208,1782,28,3
CS2209,949,15,2
CS2210,1415,20,2
CS2211,834,11,2
CS2212,1152,17,2
CS2213,1540,24,3
CS2214,1440,21,2
CS2215,1865,25,3
CS2216,1486,22,2
CS2217,1290,17,2
CS2218,1157,17,2
CS2219,1038,17,2
CS2220,1970,27,3
CS2221,1183,18,2
CS2222,949,14,2
CS2223,1868,27,3
CS2224,1073,14,2
CS2225,1411,20,2
CS2226,1270,17,2
CS2227,1288,21,2
CS2228,1315,19,2
CS2229,1810,23,3
CS2230,1600,24,3
CS2231,1389,18,2
CS2232,1243,22,2
CS2233,1847,23,3
CS2234,808,10,2
CS2235,1228,17,2
CS2236,1547,25,3
CS2237,1882,26,3
CS2238,1156,15,2
CS2239,1197,19,2
CS2240,973,13,2
CS2241,1540,21,2
CS2242,1236,17,2
CS2243,969,14,2
CS2244,1587,21,2
CS2245,1406,20,2
CS2246,1710,23,3
CS2247,1138,17,2
CS2248,1092,16,2
CS2249,1635,23,3
CS2250,1318,18,2
CS2251,1745,25,3
CS2252,2120,31,3
CS2253,1262,17,2
CS2254,1331,21,2
CS2255,1222,17,2
CS2256,1337,19,2
CS2257,1757,23,3
CS2258,1244,18,2
CS2259,1245,17,2
CS2260,1126,18,2
CS2261,1183,18,2
CS2262,1334,18,2
CS2263,2019,27,3
CS2264,1627,21,2
CS2265,910,15,2
CS2266,1043,16,2
CS2267,1267,17,2
CS2268,1470,19,2
CS2269,1623,26,3
CS2270,1121,15,2
CS2271,1619,23,3
CS2272,1144,17,2
CS2273,1935,25,3
CS2274,1124,18,2
CS2275,1063,15,2
CS2276,1071,14,2
CS2277,1682,24,3
CS2278,826,14,2
CS2279,1546,22,3
CS2280,1569,24,3
CS2281,1498,19,2
CS2282,1452,21,2
CS2283,1552,22,3
